cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Angerona prunaria,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acrobasis legatea,Larva Feeding Place,"larva construct closed shelters (from leaf rolls, leaves spun together or alike; viz. they are ‘semi-concealed’); or they are boring into plant tissues, but only for a fraction of their development",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lithophane ornitopus,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Episema tersa,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trachonitis cristella,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polypogon tentacularia,Larval Feeding on dead plant matter,larvae feed on withered plants or on leaf litter and alike.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Conisania luteago,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Ptilodon capucina,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Conistra vaccinii,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Asteroscopus sphinx,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Horisme corticata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catephia alchymista,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia centaureata,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Anania lancealis,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Camptogramma bilineata,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea muricata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chrysoteuchia culmella,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Herminia tarsipennalis,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Costaconvexa polygrammata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrausta aurata,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paradarisa consonaria,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Charanyca trigrammica,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna conigera,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lacanobia thalassina,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Epirrita dilutata,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Pyralis regalis,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euplexia lucipara,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Abrostola triplasia,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dypterygia scabriuscula,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colostygia pectinataria,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrotera nemoralis,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
